Years,Predicted Income(CA$)
2021,44190.02063466492
2022,45077.417022589594
2023,45964.813410514034
2024,46852.209798438475
2025,47739.60618636315
2026,48627.00257428759
2027,49514.39896221203
2028,50401.7953501367
2029,51289.19173806114
2030,52176.58812598558
2031,53063.984513910254
2032,53951.380901834695
2033,54838.77728975937
2034,55726.17367768381
2035,56613.57006560825
2036,57500.96645353292
2037,58388.36284145736
2038,59275.7592293818
2039,60163.155617306475
2040,61050.552005230915
2041,61937.948393155355
2042,62825.34478108003
2043,63712.74116900447
2044,64600.13755692914
2045,65487.53394485358
2046,66374.93033277802
2047,67262.3267207027
2048,68149.72310862713
2049,69037.11949655158
2050,69924.51588447625
